idA,idB,type,desc,src
R,GladII,known,"R. ist juristisch voll verantwortlich für die Beurteilung von GladII, da er eine eidesstattliche Versicherung hierfür abgegeben hat.","(http://www.abmahnhelfer.de/wp-content/uploads/2013/12/EV.pdf)"
DuP,GladII,known,"Diehl & Partner hat die Funktionstüchtigkeit von GladII 1.1.3 in einem Gutachten bestätigt.","(http://www.abmahnhelfer.de/wp-content/uploads/2013/12/Antrag.pdf)"
ITGuards,GladII,known,"GladII 1.1.3 wurde angeblich von ITGuards entwickelt.","(http://www.abmahnhelfer.de/wp-content/uploads/2013/12/Antrag.pdf)"
LGK,EVf,known,"Das Landgericht Köln gibt dem Antrag auf eine einstweilige Anordnung bzgl. Amanda's Secret statt.","(http://www.abmahnhelfer.de/wp-content/uploads/2013/12/Antrag.pdf)"
Amanda,EVf,known,"Die vorliegende einstweilige Verfügung bezieht sich auf Amanda's Secret.","(http://www.abmahnhelfer.de/wp-content/uploads/2013/12/Antrag.pdf)"
HausnerP,Amanda,known,"Hausner Productions besitzt sämtliche ausschließliche Auswertungsrechte an Amanda's Secret.","(http://www.abmahnhelfer.de/wp-content/uploads/2013/12/Antrag.pdf)"
Serrato,Amanda,known,"Serrato Consultores S.L. ist Hersteller von Amanda's Secret.","(http://www.abmahnhelfer.de/wp-content/uploads/2013/12/Antrag.pdf)"
Gernot,Serrato,known,"Gernot Paul Siegfried Schenk ist als Anwalt für Serrato Consultores S.L. tätig.","(https://web.archive.org/web/20131216120859/http://www.empresia.es/persona/gernot-paul-siegfried-schenk/)"
Jutta,Serrato,known,"Jutta Schilling ist Geschäftsführerin von Serrato Consultores S.L.","(http://pdfcast.org/pdf/serrato-consultores-sl-vertrag-filmlizenz)"
EVf,Archive,known,"The Archive AG hat die einstweilige Verfügung beantragt.","(http://www.abmahnhelfer.de/wp-content/uploads/2013/12/Antrag.pdf)"
ITGuards,Archive,known,"Web-Sites von ITGuards und The Archive AG werden beide von WIX.com gehosted und sind dem selben User-Account zugeordnet. Dies ist dem Code entnehmbar.","(http://www.crackajack.de/2013/12/13/pornostreamingabmahnungsupdate-3-the-distributed-digital-porn-heist/)"
Archive,Daniel,known,"The Archive AG hat Rechtsanwalt Daniel Sebastian für die Rechtevertretung beauftragt.","(http://www.abmahnhelfer.de/wp-content/uploads/2013/12/Antrag.pdf)"
Daniel,UuC,known,"Zitat aus Quelle (wbs-law.de): 'Interessant ist übrigens auch, dass es überhaupt nicht die Idee des Kollegen Urmann war, hier im großen Stil Massenabmahnungen zu verschicken. Vielmehr sei Rechtsanwalt Daniel Sebastian zusammen mit den von ihm erwirkten Auskunftsbeschlüssen und den dahinter stehenden tausenden IT Adressen auf die Kanzlei Urmann und Kollegen vor zwei Wochen zugekommen und habe um Unterstützung gebeten.'","(https://web.archive.org/web/20131216113940/http://www.wbs-law.de/abmahnung-filesharing/abmahnkanzleien/abmahnung-u-c-rechtsanwaelte/thomas-urmann-diese-abmahnwelle-war-erst-der-anfang-49126/)"
Urmann,UuC,known,"Thomas Urmann ist der Geschäftsführer der Kanzlei Urmann+Collegen.","(https://web.archive.org/web/20131216113556/http://urmann.com/Impressum.htm)"
Philipp,Archive,known,"Philipp Wiik war Direktor bei The Archive AG.","(https://web.archive.org/web/20140115121523/http://www.moneyhouse.ch/u/the_archive_ag_CH-020.3.036.349-0.htm)"
Peter,Archive,known,"Peter Matthias ist Mitgründer von und war Direktor bei The Archive AG.","(https://web.archive.org/web/20140115121523/http://www.moneyhouse.ch/u/the_archive_ag_CH-020.3.036.349-0.htm)"
Ralfi,Archive,known,"Ralf Reichert ist Verwaltungsrat bei The Archive AG.","(https://web.archive.org/web/20140115121523/http://www.moneyhouse.ch/u/the_archive_ag_CH-020.3.036.349-0.htm)"
Moses,Ralfi,known,"Moses Pelham sind oder waren Geschäftspartner.","(https://web.archive.org/web/20140115122314/http://www.mediabiz.de/musik/news/3p-und-intergroove-verlaengern-zusammenarbeit/176103)"
Moses,DigiP,known,"Moses Pelham hat gemeinsam mit Andreas Walter 2006 die seit Anfang 2013 insolvente DigiProtect gegründet.","(http://de.wikipedia.org/wiki/Moses_Pelham)"
UuC,DigiP,known,"Die Kanzlei Urmann+Collegen war als Insolvenzverwalter für DigiProtect tätig.","(https://web.archive.org/web/20140103100404/http://digiprotect.org/)"
Daniel,Mikrof,known,"Daniel Sebastian ist Geschäftsführer der Mikrofaktor UG.","(https://www.handelsregister.de/rp_web/mask.do) [mikrofaktor / 03.11.2009]"
Mikrof,SKB,known,"Mikrofaktor UG und SKB UG besitzen nach Umzügen in Nov/Dez 2011 die selbe Geschäftsadresse.","(https://web.archive.org/web/20131216132229/http://peoplecheck.de/handelsregister/BE-HRB_130332_B-193359),(https://www.handelsregister.de/rp_web/mask.do) [mikrofaktor / 09.12.2011]"
Pavel,SKB,known,"Pavel Karaoglanov ist Geschäftsführer der SKB UG.","(https://web.archive.org/web/20131216132418/http://peoplecheck.de/handelsregister/BE-HRB_130332_B-189330)"
WhMeindl,Pranger,known,"Wolfhard Meindl stellt Verfahren bzgl. des Urmann'schen Porno-Pranger manges Tatverdacht ein.","(https://web.archive.org/web/20131215015202/http://www.regensburg-digital.de/warum-entzieht-man-uc-nicht-die-lizenz/09122013/)"
Pranger,Urmann,known,"Kanzlei Urmann+Collegen ist Erfinder des Porno-Prangers bzgl. dessen es zu einem Gerichtsverfahren kommt.","(https://web.archive.org/web/20131216121722/http://www.regensburg-digital.de/urmann-und-collegen-porno-pranger-kanzlei-unterliegt-in-musterprozess/)"
Urmann,Xaver,known,"Thomas Urmann ist Mitgeschäftsführer der Gundelfinger Fleisch- und Wurstfirma Xaver Schwarz.","(https://web.archive.org/web/20131216122742/http://peoplecheck.de/handelsregister/BY-HRB_23740-277913)"
WgMeindl,Xaver,known,"Wolfgang Meindl steht in seiner Funktion als Wirtschaftsreferent mit der insolventen Firma Xaver Schwarz in einem amtlich bedingten Zusammenhang.","(https://web.archive.org/web/20131216122144/http://www.augsburger-allgemeine.de/guenzburg/Investoren-uebernehmen-nun-doch-Wurstfabrik-id4066431.html)"
WhMeindl,WgMeindl,guesswork,"Ist Übereinstimmung der Nachnamen Zufall oder liegt hier eine Verwandschaft vor?",""
Pavel,ITGuards,guesswork,"Es liegt eine gewisse Übereinstimmung des Geschäftsfeldes von Pavel Karaoglanov und ITGuards und der 'entwickelten' Software vor.",""
Django,Archive,"known","Nounagnon Sedjro Crespin Djengue (kurz: Django) aus Benin ist seit dem 15. Januar 2014 der neue Geschäftsführer von The Archive AG","(http://shab.help.ch/publ.cfm?key=1732728),(http://archive.is/tmiAg)"
FDUDM2,DigiP,"known","Am 12. Februar 2013 wird DigiProtect in FDUDM2 umbenannt; drei Tage später wird das vorläufige Insolvenzverfahren eröffnet.","(http://de.wikipedia.org/wiki/DigiProtect)"
